date,prcp
1/6/2011,0.01
1/7/2011,0
1/8/2011,0
1/9/2011,0
1/10/2011,0
1/11/2011,0.09
1/13/2011,
1/14/2011,0.03
1/15/2011,0
1/16/2011,0
1/17/2011,0
1/18/2011,0
1/19/2011,0.03
1/20/2011,0
1/21/2011,0
1/22/2011,0
1/23/2011,0
1/24/2011,0
1/25/2011,0
1/27/2011,0
1/28/2011,0
1/29/2011,0
1/30/2011,0
1/31/2011,0.22
2/1/2011,0
2/2/2011,0
2/3/2011,0
2/4/2011,0
2/5/2011,0
2/6/2011,0
2/7/2011,1.29
2/8/2011,1.3
2/9/2011,0
2/10/2011,0.29
2/12/2011,
2/13/2011,0
2/14/2011,0.04
2/15/2011,0.05
2/16/2011,0
2/19/2011,0
2/20/2011,1.72
2/21/2011,0
2/22/2011,0.82
2/23/2011,0
2/24/2011,0.2
2/25/2011,0
2/26/2011,0
2/27/2011,0
2/28/2011,0
3/1/2011,0.1
3/2/2011,0
3/3/2011,0
3/4/2011,0.88
3/5/2011,0.4
3/6/2011,0.03
3/8/2011,
3/9/2011,0.2
3/10/2011,0.15
3/12/2011,0
3/13/2011,0
3/14/2011,0
3/16/2011,0
3/17/2011,0.01
3/18/2011,0.05
3/19/2011,0.01
3/20/2011,0.02
3/21/2011,0
3/22/2011,0.02
3/23/2011,0
3/24/2011,0.06
3/25/2011,0
3/26/2011,0
3/27/2011,0
3/28/2011,0.04
3/30/2011,0
3/31/2011,0
4/1/2011,0.05
4/2/2011,0.04
4/3/2011,0
4/4/2011,0
4/5/2011,0
4/6/2011,0.09
4/7/2011,1.11
4/8/2011,0.36
4/9/2011,0.02
4/10/2011,0
4/11/2011,0
4/12/2011,0
4/13/2011,0
4/15/2011,0
4/16/2011,0.12
4/17/2011,0
4/18/2011,0
4/19/2011,0
4/20/2011,0
4/21/2011,0
4/22/2011,0
4/23/2011,0
4/24/2011,0
4/25/2011,0
4/26/2011,0
4/27/2011,0
4/29/2011,0
4/30/2011,0.04
5/1/2011,0
5/2/2011,0
5/3/2011,2.1
5/4/2011,0.02
5/5/2011,0.12
5/6/2011,0.12
5/7/2011,0.55
5/8/2011,0.55
5/9/2011,0.02
5/10/2011,0.11
5/11/2011,0.1
5/12/2011,0
5/13/2011,0
5/14/2011,0
5/15/2011,0
5/16/2011,0
5/17/2011,0
5/18/2011,0
5/19/2011,0.01
5/20/2011,0
5/21/2011,0
5/22/2011,0.06
5/23/2011,0.02
5/24/2011,0
5/25/2011,0
5/26/2011,0
5/27/2011,0
5/28/2011,0
5/29/2011,0
5/30/2011,0
5/31/2011,0.05
6/1/2011,0.07
6/2/2011,0
6/3/2011,0.56
6/4/2011,0.89
6/5/2011,0
6/6/2011,0
6/7/2011,0
6/8/2011,0.03
6/9/2011,0.01
6/10/2011,0
6/11/2011,0
6/12/2011,0
6/13/2011,0
6/14/2011,0
6/15/2011,0
6/17/2011,0
6/18/2011,0
6/19/2011,0.05
6/20/2011,0.06
6/21/2011,0.07
6/24/2011,
6/25/2011,0
6/26/2011,0
6/27/2011,0.01
6/28/2011,0.01
6/29/2011,0
7/1/2011,0.05
7/2/2011,0.02
7/3/2011,0
7/4/2011,0
7/5/2011,0.01
7/6/2011,0.01
7/7/2011,0.01
7/8/2011,0
7/9/2011,0.03
7/10/2011,0.02
7/11/2011,0
7/12/2011,0
7/13/2011,0.15
7/14/2011,0
7/15/2011,0
7/16/2011,0
7/17/2011,0.04
7/18/2011,0
7/19/2011,0
7/20/2011,0
7/21/2011,0.03
7/23/2011,0
7/24/2011,0
7/25/2011,0
7/26/2011,0
7/27/2011,0.04
7/28/2011,0.09
7/29/2011,0.04
7/30/2011,0.12
7/31/2011,0
8/1/2011,0
8/2/2011,0
8/3/2011,0
8/4/2011,0.02
8/5/2011,0.03
8/6/2011,0.01
8/7/2011,0
8/8/2011,0
